State Name,UVPbitNoPage,SMBAlert,UVP0,Pok,Vmain,UVP1,readPage
351,1,(-0.1- 1),1,(3- 3.6),(11.8- 12.6),1,01
352,1,(-0.1- 1),1,(3- 3.6),(11.8- 12.6),1,01
353,1,(-0.1- 1),0,(3- 3.6),(11.8- 12.6),1,01
354,1,(-0.1- 1),0,(3- 3.6),(11.8- 12.6),1,01
355,1,(3- 3.6),0,(3- 3.6),(11.8- 12.6),1,01
356,1,(3- 3.6),0,(3- 3.6),(11.8- 12.6),1,01
357,1,(3- 3.6),1,(3- 3.6),(11.8- 12.6),1,01
358,0,(3- 3.6),1,(3- 3.6),(11.8- 12.6),0,01
359,0,(-0.1- 1),1,(3- 3.6),(11.8- 12.6),0,01
360,1,(-0.1- 1),1,(3- 3.6),(11.8- 12.6),1,01
361,1,(-0.1- 1),1,(3- 3.6),(11.8- 12.6),1,00
362,1,(-0.1- 1),1,(3- 3.6),(11.8- 12.6),0,00
363,1,(3- 3.6),1,(3- 3.6),(11.8- 12.6),0,00
364,1,(3- 3.6),1,(3- 3.6),(11.8- 12.6),1,00
365,0,(3- 3.6),0,(3- 3.6),(11.8- 12.6),1,00
366,0,(3- 3.6),0,(3- 3.6),(11.8- 12.6),1,00
367,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
368,0,(-0.1- 1),0,(3- 3.6),(11.8- 12.6),1,00
369,0,(-0.1- 1),0,(3- 3.6),(11.8- 12.6),1,00
370,1,(-0.1- 1),1,(3- 3.6),(11.8- 12.6),1,00
371,1,(3- 3.6),1,(3- 3.6),(11.8- 12.6),0,00
372,1,(-0.1- 1),1,(3- 3.6),(11.8- 12.6),0,00
