State Name,UVP0,UVP1,readPage,Pok,SMBAlert,Vmain,UVPbitNoPage
332,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
333,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
334,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
335,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
336,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
337,1,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
338,1,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
339,1,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
340,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
341,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
342,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
343,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
344,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
345,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
346,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
347,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
348,1,0,FF,(3- 3.6),(3- 3.6),(11.8- 12.6),1
349,1,0,01,(3- 3.6),(3- 3.6),(11.8- 12.6),0
350,1,0,01,(3- 3.6),(-0.1- 1),(11.8- 12.6),0
351,1,1,01,(3- 3.6),(-0.1- 1),(11.8- 12.6),1
352,1,1,01,(3- 3.6),(-0.1- 1),(11.8- 12.6),1
353,0,1,01,(3- 3.6),(-0.1- 1),(11.8- 12.6),1
354,0,1,01,(3- 3.6),(-0.1- 1),(11.8- 12.6),1
355,0,1,01,(3- 3.6),(3- 3.6),(11.8- 12.6),1
356,0,1,01,(3- 3.6),(3- 3.6),(11.8- 12.6),1
357,1,1,01,(3- 3.6),(3- 3.6),(11.8- 12.6),1
